country;biocapacity;footprint;metric
Afghanistan; 0.47735695443443;0.888804253036756;-1.8619279446547639
Angola; 2.42009269433945;0.979064881883608;2.471840977161259
Albania; 1.22978192154489;2.29467351775595;-1.865919052439241
Argentina; 6.78303701420791;3.73074663130106;1.8181446462480337
Armenia; 0.893840833731969;2.06978950268121;-2.3156130538805373
Australia; 15.6667670253919;8.80246730610426;1.7798154177212842
Austria; 2.99848832252414;6.11329356911241;-2.038791854945833
Azerbaijan; 0.821145328691636;2.30177057009451;-2.80312204145643
Burundi; 0.331221714232916;0.631946412118046;-1.90792567323548
Belgium; 1.1277579379834;6.8897764922069;-6.109268895528105
Benin; 0.88046962415519;1.31416527916301;-1.492573103159522
Burkina Faso; 0.969758363992861;1.18974961211904;-1.226851612004038
Bangladesh; 0.372229779303676;0.749395692502983;-2.0132609860094077
Bulgaria; 3.1155233257434;3.12725571399798;-1.0037657841164713
Bosnia and Herzegovina; 1.69339884921975;3.21477114915441;-1.8984134485715796
Belarus; 3.27526059024378;4.62610179572522;-1.412437779609132
Bolivia; 16.8600792918642;3.06062488989333;5.508704888187658
Brazil; 8.84578448567355;3.01515601801;2.9337733877903136
Bhutan; 5.13806201910955;4.61088992976627;1.1143319613725853
Botswana; 3.18387659012794;3.06888405648316;1.0374704718485055
Central African Republic; 7.54661401165321;1.14241598968592;6.605837172961813
Canada; 16.1779367908387;8.75550634159029;1.8477442833877555
Switzerland; 1.23938995370006;5.28318631063134;-4.262731269411195
Chile; 3.66589221280644;4.3500511594368;-1.1866282222484112
China; 0.927658806596403;3.59480882856326;-3.8751411650504117
Cameroon; 1.6418976859582;1.16021191251103;1.4151705117426905
Congo, Democratic Republic of; 2.77465005891153;0.753328177545;3.68318900263861
Congo; 10.7778471590793;1.26450037150972;8.523403710994048
Colombia; 3.70789500438136;1.88717294995194;1.964788126321855
Costa Rica; 1.53304440235347;2.48074040140983;-1.6181790935745204
Cuba; 0.757823976824601;1.85549997270043;-2.4484577282382385
2Cyprus; 0.315839573382734;3.30650159523305;-10.468927499551285
Czech Republic; 2.45121045017278;5.29089428938794;-2.158482267002002
Germany; 2.24973719750398;5.46076125437862;-2.427288511936941
Djibouti; 0.765044835238489;2.7852562757833;-3.640644505383853
Denmark; 4.57385965174417;6.10837536064176;-1.3354968944690784
Dominican Republic; 0.557132694808252;1.52548070840356;-2.738092240177331
Algeria; 0.590311559874813;2.38194922621964;-4.035071287990326
Ecuador; 2.19585821466448;1.93705150762926;1.133608582949852
Egypt; 0.496904470904604;1.95507855972544;-3.9345159365667635
Eritrea; 1.58907178495876;0.504503887344152;3.1497711411582445
Spain; 1.57984129251146;4.02815910367336;-2.549723901234301
Estonia; 10.2353713235061;7.01022852698584;1.4600624336432242
Ethiopia; 0.5713966194668;1.01235529823222;-1.7717208393303088
Finland; 13.3409859376763;6.73485783957599;1.9808860491873745
Fiji; 2.36151679667311;3.32506870731606;-1.4080224675938768
France; 2.91042466596524;5.06279562828119;-1.7395384554996265
Gabon; 26.1945868375196;2.44750258111511;10.702577819380705
United Kingdom; 1.27054736307043;5.05000213757384;-3.974666576277727
Georgia; 1.27288227656425;1.7286684999134;-1.3580741375230734
Ghana; 1.287969720846;1.9203972644379;-1.4910267169763054
Guinea; 1.99610491684637;1.37376653704142;1.4530161152019574
Gambia; 0.750003620325223;0.918781271968886;-1.2250357825879243
Equatorial Guinea; 4.04613256902167;3.11860413297905;1.2974178178737286
Greece; 1.50081758641272;4.20714951267511;-2.803238415356733
Guatemala; 0.945842596927857;1.69717929519123;-1.7943570110965092
Guyana; 69.5003493744447;3.31652487244767;20.955775110214045
Honduras; 1.74130645003152;1.70680889465828;1.020211726972601
Croatia; 2.79395934169529;3.77310759956483;-1.3504518635104485
Haiti; 0.279211863524976;0.607198641579599;-2.1746878299291317
Hungary; 2.36334090763589;3.26277215632549;-1.3805761774712917
Indonesia; 1.22259110143542;1.44769487367745;-1.1841202442727907
India; 0.435117091203035;1.06333353801046;-2.44378710813335
Ireland; 3.69288526075377;4.80370019922934;-1.300798660137314
Iraq; 0.312859968673047;1.90104697077613;-6.0763509593098854
Israel; 0.324700367517745;5.95842589533559;-18.350536344896373
Italy; 1.05108810172325;4.50364277287887;-4.284743367844414
Jamaica; 0.402794294905381;1.8884811739011;-4.688450650336834
Jordan; 0.185945880453242;2.05400328415691;-11.046242482760514
Japan; 0.705654978061748;4.98651708265976;-7.066508758085197
Kazakhstan; 3.56356274036793;6.48918749383713;-1.8209830909746056
Kenya; 0.51942134340692;1.02809615169963;-1.9793105630898362
Kyrgyzstan; 1.27609466452839;1.86623827826178;-1.4624606858234073
Cambodia; 1.07944891262676;1.21326004982643;-1.1239624549475442
Korea, Republic of; 0.666893203943883;5.85298694428356;-8.776498110447188
Kuwait; 0.522532090617028;8.22063101077317;-15.732298854728523
Lebanon; 0.286797561607097;3.38047215902262;-11.7869626927085
Liberia; 2.49094392197259;1.13581824403246;2.193083211209101
Libyan Arab Jamahiriya; 0.671200505915676;4.41086741955876;-6.5716091997596076
Sri Lanka; 0.477078476387424;1.43133851176386;-3.0002160705349117
Lesotho; 0.801005380030632;1.42884949928884;-1.7838201027241516
Lithuania; 5.98938389208587;6.18282786710863;-1.0322978086741725
Luxembourg; 1.58429598038971;13.0915935399841;-8.263350852385416
Latvia; 9.50184171248079;6.52711668997625;1.4557487116896273
Morocco; 0.80171649460505;1.69676349123894;-2.1164133489293087
Moldova; 0.969311505613397;1.73596397374887;-1.7909247581357473
Madagascar; 2.5243714185381;0.951185977174985;2.653919926401211
Mexico; 1.21275853694207;2.55792224629527;-2.1091768628114425
Mali; 1.38167413818128;1.30123715720169;1.0618157731927742
Myanmar; 1.72542303240006;1.44447681953843;1.194496864928164
Montenegro; 3.13608369491232;3.63563015637468;-1.1592899010548654
Mongolia; 15.2522552417215;7.47802245983628;2.0396107826153043
Mozambique; 1.89951164284611;0.838929864318701;2.26420791967957
Mauritania; 4.42337259042369;2.43042655662157;1.819998460094358
Malawi; 0.653167381769729;0.824110384640216;-1.2617139306732132
Malaysia; 2.37450940453792;4.21403716140188;-1.774698029558629
Namibia; 6.63766847680702;2.10591241153185;3.1519204884588485
New Caledonia; 7.60298413525936;2.2604021729624;3.363553718980534
Niger; 1.17709153466915;1.49495377723814;-1.2700403776655593
Nigeria; 0.641355237028512;1.07057796847851;-1.6692433563630764
Nicaragua; 2.28953907578146;1.43476723238538;1.5957564572860887
Netherlands; 1.12188482092826;5.79627352452922;-5.166549556961934
Norway; 7.90148603969176;5.76460452671522;1.3706900452708375
Nepal; 0.536501777241116;0.931458994045375;-1.7361713111842243
New Zealand; 10.0467697833392;5.11324739738813;1.9648511019574635
Oman; 1.67342013830439;5.66616921221077;-3.385981250322512
Pakistan; 0.348609797685683;0.729021441581786;-2.091224763106324
Panama; 2.95064802665895;2.81140961484297;1.0495261918010326
Peru; 3.87544798321798;2.34371600054148;1.6535484599339751
Philippines; 0.52777833272106;1.00693406342616;-1.9078730614701878
Papua New Guinea; 3.85369390361018;1.51309791957669;2.546889962474011
Poland; 1.98625778123038;4.27248245658314;-2.1510211297632105
Portugal; 1.5262419291803;3.87071150526651;-2.53610612528864
Paraguay; 11.5499304666732;4.01146441742161;2.879230441758967
Qatar; 1.21360984741832;12.5735592804493;-10.360462472512646
Romania; 2.68632757246966;2.62678347705657;1.0226680637872034
Russian Federation; 6.88535958368883;5.72105933363712;1.2035113048393287
Rwanda; 0.560042399954444;0.874318731317732;-1.561165246397152
Saudi Arabia; 0.453339831518312;5.61399170483674;-12.383627721470072
Sudan; 1.39430322589526;1.43011242440033;-1.0256825042358184
South Sudan; 1.83449364750742;1.72122621739025;1.0658062426500265
Senegal; 0.973592675573685;1.1053700661123;-1.1353516658914529
Solomon Islands; 4.23912868693898;1.19124313997399;3.558575528948304
Sierra Leone; 1.22504777699906;1.211305286081;1.0113451918983378
El Salvador; 0.594509335601766;1.89418567600533;-3.186132769619208
Somalia; 1.27157536298378;1.2428295360254;1.0231293400463508
Suriname; 89.4354307727291;4.01418318006735;22.27985788412091
Slovakia; 2.76930473181368;4.4445526146127;-1.604934467324534
Slovenia; 2.25390470164641;4.69749839120068;-2.084160163368619
Sweden; 10.4142448505888;6.53287783390249;1.5941282104716368
Swaziland; 0.879294263071263;2.03525325950676;-2.314644078761391
Syrian Arab Republic; 0.558285956301362;1.44456802071069;-2.5875055684383255
Chad; 1.86886356570968;1.37450198645673;1.3596659620167908
Togo; 0.432852642730103;1.01191062310818;-2.3377716183637527
Thailand; 1.21922106547148;2.56831498446589;-2.1065211692948465
Tajikistan; 0.536604938093336;0.925803512964963;-1.725298161165879
Turkmenistan; 2.76205588789606;5.53706926985853;-2.0046912497763687
Trinidad and Tobago; 1.55677741817452;8.76135289379741;-5.627877685989939
Tunisia; 0.788307838822504;2.18242098639954;-2.7684882464944454
Turkey; 1.47058767549402;3.1889482045731;-2.1684856045742564
Uganda; 0.573005987260336;1.22439063291316;-2.1367850600780507
Ukraine; 2.51757060196146;3.23621430841592;-1.2854512623775312
Uruguay; 10.211632042361;3.29961458523348;3.0947954006690233
United States of America; 3.78099188276978;8.59125562517333;-2.2722227107453543
Uzbekistan; 0.89254407944364;2.15681463859333;-2.416479687969879
Vanuatu; 2.47294913024665;3.55702284903374;-1.4383728340901882
Yemen; 0.46039610117071;0.971035846685745;-2.109131341939178
South Africa; 1.11037617121658;3.37241177859352;-3.0371795306977347
Zambia; 2.02895775484161;0.967214381536;2.097733236368437
Zimbabwe; 0.5529381247854;1.14368438823728;-2.0683767983644707